"start_prevalence","treatment_cov","delayMos","vector_density_increase","save_location","which_prevalence","itn_vector_compact","irs_vector_compact","larvicide_vector_compact","t_itn_compact","t_irs_compact","t_larvicide_compact","surv_bioassay","seasonality","burn_in_time","introduction_time","after_time","LHC_on","LHC_row_run","LHC_total_rows","seed","location","net_type","save_cols","intervention_decoded","save_name_base"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","CMldSAyCgl"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","N9kqbCueoc"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0.8","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 80%/Larvicide 0%","QzvpkxzwoP"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0.8","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 80%/Larvicide 0%","FDWZCV4HbG"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0.4","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 40%","96Gotyp7OC"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0.4","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 40%","I0uUxjzIjv"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0.8","0;0;0.4","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 0%/IRS 80%/Larvicide 40%","MtF3fDxmXA"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0.8","0;0;0.4","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"Pyrethroid","Incidence;Prevalence","ITN 80%/IRS 80%/Larvicide 40%","3Aq2BSZ6yM"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.4","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"PBO-pyrethroid","Incidence;Prevalence","ITN 0%/IRS 0%/Larvicide 0%","ljA0uLONyL"
0,0.4,14,7.4850530459066,"output/model_run_density_increase/paper_example_run/","prevs_2_10","0;0.4;0.8","0;0;0","0;0;0","-100;2;5475","-100;2;5475","-100;2;5475",0.4314444,FALSE,4380,1095,5475,TRUE,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100",100,1,1,"PBO-pyrethroid","Incidence;Prevalence","ITN 80%/IRS 0%/Larvicide 0%","LVGaCG8vaL"
